op_index,op_type,input_shape,weight_shape,output_shape,input_scale,input_zp,weight_scale,weight_zp,output_scale,output_zp,param_count,macs,injection_candidate
87,CONV_2D,"[1, 11, 11, 48]","[240, 1, 1, 48]","[1, 11, 11, 240]",0.04785430058836937,0,0.0008072888012975454,0,0.005145947448909283,-128,11520,1393920,True
88,PAD,"[1, 11, 11, 240]",,"[1, 13, 13, 240]",0.005145947448909283,-128,,,0.005145947448909283,-128,,,False
89,DEPTHWISE_CONV_2D,"[1, 13, 13, 240]","[1, 3, 3, 240]","[1, 11, 11, 240]",0.005145947448909283,-128,0.11416422575712204,0,0.018283661454916,-128,2160,261360,True
90,PAD,"[1, 11, 11, 240]",,"[1, 11, 11, 240]",0.018283661454916,-128,,,0.018283661454916,-128,,,False
91,CONV_2D,"[1, 11, 11, 240]","[48, 1, 1, 240]","[1, 11, 11, 48]",0.018283661454916,-128,0.004833315499126911,0,0.01157377753406763,0,11520,1393920,True
92,ADD,"[1, 11, 11, 48]",,"[1, 11, 11, 48]",0.01157377753406763,0,,,0.052783895283937454,0,,,False
93,PAD,"[1, 11, 11, 48]",,"[1, 11, 11, 48]",0.052783895283937454,0,,,0.052783895283937454,0,,,False
94,CONV_2D,"[1, 11, 11, 48]","[288, 1, 1, 48]","[1, 11, 11, 288]",0.052783895283937454,0,0.002881975146010518,0,0.012197376228868961,-128,13824,1672704,True
95,PAD,"[1, 11, 11, 288]",,"[1, 13, 13, 288]",0.012197376228868961,-128,,,0.012197376228868961,-128,,,False
96,DEPTHWISE_CONV_2D,"[1, 13, 13, 288]","[1, 3, 3, 288]","[1, 6, 6, 288]",0.012197376228868961,-128,0.005769589450210333,0,0.0230784323066473,-128,2592,93312,True
97,PAD,"[1, 6, 6, 288]",,"[1, 6, 6, 288]",0.0230784323066473,-128,,,0.0230784323066473,-128,,,False
98,CONV_2D,"[1, 6, 6, 288]","[96, 1, 1, 288]","[1, 6, 6, 96]",0.0230784323066473,-128,0.004250239115208387,0,0.06507851183414459,0,27648,995328,True
99,PAD,"[1, 6, 6, 96]",,"[1, 6, 6, 96]",0.06507851183414459,0,,,0.06507851183414459,0,,,False
100,CONV_2D,"[1, 6, 6, 96]","[480, 1, 1, 96]","[1, 6, 6, 480]",0.06507851183414459,0,0.0009438144625164568,0,0.009687225334346294,-128,46080,1658880,True
101,PAD,"[1, 6, 6, 480]",,"[1, 12, 12, 480]",0.009687225334346294,-128,,,0.009687225334346294,-128,,,False
102,DEPTHWISE_CONV_2D,"[1, 12, 12, 480]","[1, 7, 7, 480]","[1, 6, 6, 480]",0.009687225334346294,-128,0.03434380516409874,0,0.018816493451595306,-128,23520,846720,True
103,PAD,"[1, 6, 6, 480]",,"[1, 6, 6, 480]",0.018816493451595306,-128,,,0.018816493451595306,-128,,,False
104,CONV_2D,"[1, 6, 6, 480]","[96, 1, 1, 480]","[1, 6, 6, 96]",0.018816493451595306,-128,0.004795747343450785,0,0.027496028691530228,0,46080,1658880,True
105,ADD,"[1, 6, 6, 96]",,"[1, 6, 6, 96]",0.027496028691530228,0,,,0.043968942016363144,0,,,False
106,PAD,"[1, 6, 6, 96]",,"[1, 6, 6, 96]",0.043968942016363144,0,,,0.043968942016363144,0,,,False
107,CONV_2D,"[1, 6, 6, 96]","[384, 1, 1, 96]","[1, 6, 6, 384]",0.043968942016363144,0,0.0007848681998439133,0,0.006113478913903236,-128,36864,1327104,True
108,PAD,"[1, 6, 6, 384]",,"[1, 8, 8, 384]",0.006113478913903236,-128,,,0.006113478913903236,-128,,,False
109,DEPTHWISE_CONV_2D,"[1, 8, 8, 384]","[1, 3, 3, 384]","[1, 6, 6, 384]",0.006113478913903236,-128,0.04032738506793976,0,0.015195212326943874,-128,3456,124416,True
110,PAD,"[1, 6, 6, 384]",,"[1, 6, 6, 384]",0.015195212326943874,-128,,,0.015195212326943874,-128,,,False
111,CONV_2D,"[1, 6, 6, 384]","[96, 1, 1, 384]","[1, 6, 6, 96]",0.015195212326943874,-128,0.00600661663338542,0,0.013334653340280056,0,36864,1327104,True
112,ADD,"[1, 6, 6, 96]",,"[1, 6, 6, 96]",0.013334653340280056,0,,,0.05323520675301552,0,,,False
113,PAD,"[1, 6, 6, 96]",,"[1, 6, 6, 96]",0.05323520675301552,0,,,0.05323520675301552,0,,,False
114,CONV_2D,"[1, 6, 6, 96]","[480, 1, 1, 96]","[1, 6, 6, 480]",0.05323520675301552,0,0.0025164096150547266,0,0.012446554377675056,-128,46080,1658880,True
115,PAD,"[1, 6, 6, 480]",,"[1, 12, 12, 480]",0.012446554377675056,-128,,,0.012446554377675056,-128,,,False
116,DEPTHWISE_CONV_2D,"[1, 12, 12, 480]","[1, 7, 7, 480]","[1, 6, 6, 480]",0.012446554377675056,-128,0.0048135085962712765,0,0.022344764322042465,-128,23520,846720,True
117,PAD,"[1, 6, 6, 480]",,"[1, 6, 6, 480]",0.022344764322042465,-128,,,0.022344764322042465,-128,,,False
118,CONV_2D,"[1, 6, 6, 480]","[160, 1, 1, 480]","[1, 6, 6, 160]",0.022344764322042465,-128,0.02030828595161438,0,0.05043526738882065,0,76800,2764800,True
119,AVERAGE_POOL_2D,"[1, 6, 6, 160]",,"[1, 1, 1, 160]",0.05043526738882065,0,,,0.05043526738882065,0,,,False
120,CONV_2D,"[1, 1, 1, 160]","[1000, 1, 1, 160]","[1, 1, 1, 1000]",0.05043526738882065,0,0.004877720959484577,0,0.20263934135437012,0,160000,160000,True
121,RESHAPE,"[1, 1, 1, 1000]",,"[1, 1000]",0.20263934135437012,0,,,0.20178799331188202,-44,,,False
